KGP_sample_id	karyotype	superpopulation	population	unrelated
NA19776	XX	AMR	MXL	true
NA19777	XY	AMR	MXL	true
NA19778	XY	AMR	MXL	false
NA19779	XX	AMR	MXL	true
NA19780	XY	AMR	MXL	true
NA19781	XX	AMR	MXL	false
NA19782	XX	AMR	MXL	true
NA19783	XY	AMR	MXL	true
NA19784	XY	AMR	MXL	false
NA19785	XX	AMR	MXL	true
NA19786	XY	AMR	MXL	true
NA19787	XY	AMR	MXL	false
NA19788	XX	AMR	MXL	true
NA19789	XY	AMR	MXL	true
NA19790	XX	AMR	MXL	false
NA19792	XY	AMR	MXL	true
NA19794	XX	AMR	MXL	true
NA19795	XY	AMR	MXL	true
NA19796	XY	AMR	MXL	false
NA19818	XY	AFR	ASW	true
NA19819	XX	AFR	ASW	true
NA19828	XY	AFR	ASW	false
NA19834	XY	AFR	ASW	true
NA19835	XX	AFR	ASW	true
NA19836	XX	AFR	ASW	false
NA19900	XY	AFR	ASW	true
NA19901	XX	AFR	ASW	true
NA19902	XX	AFR	ASW	false
NA19904	XY	AFR	ASW	true
NA19908	XY	AFR	ASW	true
NA19909	XX	AFR	ASW	true
NA19913	XX	AFR	ASW	true
NA19914	XX	AFR	ASW	true
NA19916	XY	AFR	ASW	true
NA19917	XX	AFR	ASW	true
NA19918	XY	AFR	ASW	false
NA19919	XY	AFR	ASW	false
NA19920	XY	AFR	ASW	true
NA19921	XX	AFR	ASW	true
NA19922	XY	AFR	ASW	true
NA19923	XX	AFR	ASW	true
NA19924	XX	AFR	ASW	false
NA19982	XY	AFR	ASW	true
NA19983	XX	AFR	ASW	false
NA19984	XY	AFR	ASW	true
NA20126	XY	AFR	ASW	true
NA20127	XX	AFR	ASW	true
NA20128	XX	AFR	ASW	false
NA20129	XX	AFR	ASW	false
NA20274	XX	AFR	ASW	true
NA20276	XX	AFR	ASW	true
NA20278	XY	AFR	ASW	true
NA20279	XY	AFR	ASW	false
NA20281	XY	AFR	ASW	true
NA20282	XX	AFR	ASW	true
NA20287	XX	AFR	ASW	true
NA20289	XX	AFR	ASW	true
NA20291	XY	AFR	ASW	true
NA20294	XX	AFR	ASW	true
NA20296	XX	AFR	ASW	true
NA20298	XY	AFR	ASW	true
NA20299	XX	AFR	ASW	true
NA20314	XX	AFR	ASW	true
NA20317	XX	AFR	ASW	true
NA20318	XY	AFR	ASW	true
NA20320	XX	AFR	ASW	true
NA20321	XX	AFR	ASW	true
NA20332	XX	AFR	ASW	true
NA20334	XX	AFR	ASW	true
NA20339	XX	AFR	ASW	true
NA20340	XY	AFR	ASW	true
NA20342	XY	AFR	ASW	true
NA20346	XY	AFR	ASW	true
NA20348	XY	AFR	ASW	true
NA20351	XY	AFR	ASW	true
NA20355	XX	AFR	ASW	true
NA20356	XY	AFR	ASW	true
NA20357	XX	AFR	ASW	true
NA20358	XY	AFR	ASW	false
NA20359	XX	AFR	ASW	true
NA20362	XY	AFR	ASW	true
NA20412	XX	AFR	ASW	true
NA20502	XX	EUR	TSI	true
NA20503	XX	EUR	TSI	true
NA20504	XX	EUR	TSI	true
NA20505	XX	EUR	TSI	true
NA20506	XX	EUR	TSI	true
NA20507	XX	EUR	TSI	true
NA20508	XX	EUR	TSI	true
NA20509	XY	EUR	TSI	true
NA20510	XY	EUR	TSI	true
NA20511	XY	EUR	TSI	true
