KGP_sample_id	karyotype	superpopulation	population	unrelated
HG00623	XX	EAS	CHS	true
HG00625	XY	EAS	CHS	true
HG00626	XX	EAS	CHS	true
HG00627	XY	EAS	CHS	false
HG00628	XY	EAS	CHS	true
HG00629	XX	EAS	CHS	true
HG00630	XY	EAS	CHS	false
HG00631	XY	EAS	CHS	true
HG00632	XX	EAS	CHS	true
HG00634	XY	EAS	CHS	true
HG00635	XX	EAS	CHS	false
HG00636	XY	EAS	CHS	false
HG00637	XY	AMR	PUR	true
HG00638	XX	AMR	PUR	true
HG00639	XX	AMR	PUR	false
HG00640	XY	AMR	PUR	true
HG00641	XX	AMR	PUR	true
HG00642	XY	AMR	PUR	false
HG00650	XY	EAS	CHS	true
HG00651	XX	EAS	CHS	true
HG00652	XX	EAS	CHS	false
HG00653	XY	EAS	CHS	true
HG00654	XX	EAS	CHS	true
HG00655	XX	EAS	CHS	false
HG00656	XY	EAS	CHS	true
HG00657	XX	EAS	CHS	true
HG00658	XY	EAS	CHS	false
HG00662	XY	EAS	CHS	true
HG00663	XX	EAS	CHS	true
HG00664	XY	EAS	CHS	false
HG00671	XY	EAS	CHS	true
HG00672	XX	EAS	CHS	true
HG00673	XY	EAS	CHS	false
HG00674	XY	EAS	CHS	true
HG00675	XX	EAS	CHS	true
HG00683	XY	EAS	CHS	true
