IID,inferred_pop
10005791052_R03C02,SAS
10005791052_R04C02,SAS
10005791052_R05C02,AFR
10005791052_R06C02,AFR
10005791054_R01C01,EUR
10005791055_R02C01,EAS
10005791055_R02C02,EUR
10005791057_R02C02,EUR
10005791057_R03C02,EUR
10005791057_R04C02,EAS
10005791057_R05C02,EAS
10005791067_R01C02,EUR
10005791067_R02C01,EUR
10005791067_R02C02,EUR
10005791067_R03C01,EUR
10005791067_R03C02,EUR
10005791067_R04C01,EUR
10005791067_R04C02,EUR
10005791067_R05C01,EUR
10005791067_R05C02,EAS
10005791067_R06C01,EUR
10005791067_R06C02,EUR
10005791070_R01C02,EAS
10005791070_R02C01,SAS
10005791070_R02C02,EAS
10005791070_R03C01,SAS
10005791070_R03C02,EAS
10005791070_R04C02,EUR
10005791070_R05C02,EUR
10005791070_R06C01,EAS
10005791072_R01C01,EUR
10005791072_R01C02,EUR
10005791072_R02C01,EUR
10005791072_R02C02,EUR
10005791072_R03C01,EUR
10005791072_R04C01,EUR
10005791072_R05C01,EUR
10005791072_R06C01,EUR
10005791085_R01C01,EUR
10005791085_R01C02,EUR
10005791085_R02C01,AMR
10005791085_R02C02,EUR
10005791085_R03C01,AMR
10005791085_R03C02,EUR
10005791085_R04C01,EUR
10005791085_R05C01,EUR
10005791085_R06C01,EUR
10005791085_R06C02,SAS
10005791091_R03C02,EUR
10005791092_R01C02,EUR
10005791092_R03C01,EUR
10005791092_R04C01,EUR
10005791092_R04C02,EUR
10005791092_R05C01,EUR
10005791092_R05C02,AMR
10005791092_R06C01,EUR
10005791095_R01C01,AMR
10005791095_R01C02,AMR
10005791095_R02C02,EUR
10005791095_R03C02,EUR
10005791095_R04C01,EUR
10005791095_R04C02,EUR
10005791095_R05C01,EUR
10005791095_R05C02,EUR
10005791095_R06C01,EUR
10005791095_R06C02,EUR
10005791096_R01C02,EUR
10005791096_R02C02,EUR
10005791096_R03C01,EUR
10005791096_R03C02,EUR
10005791096_R04C01,AMR
10005791096_R04C02,EUR
10005791096_R05C01,EUR
10005791096_R06C01,EUR
10008541069_R05C02,EUR
10008541134_R01C01,AMR
10008541134_R01C02,SAS
10008541134_R02C01,AMR
10008541134_R02C02,EUR
10008541134_R03C01,AMR
10008541134_R03C02,EUR
10008541134_R04C01,AMR
10008541134_R05C01,EAS
10008541134_R05C02,EUR
10008541134_R06C01,SAS
10008541141_R03C02,EUR
10008541141_R04C02,EUR
10008541141_R05C01,EUR
10008541141_R05C02,EUR
10008541141_R06C02,EAS
10008541151_R01C02,AMR
10008541151_R02C01,EAS
10008541151_R04C02,AMR
10008541151_R05C01,SAS
10008541151_R06C01,EUR
10008541155_R01C02,EAS
10008541155_R02C02,AMR
10008541155_R03C02,EUR
10013440012_R02C01,EAS
10013440012_R03C01,EAS
10013440012_R06C01,EAS
10013440017_R01C01,AFR
10013440017_R01C02,AFR
10013440017_R02C01,AFR
10013440017_R02C02,AFR
10013440017_R03C01,SAS
10013440017_R04C01,EAS
10013440017_R05C02,EUR
10013440017_R06C02,EUR
10013440021_R01C02,EUR
10013440021_R02C02,EAS
10013440021_R03C02,EAS
10013440021_R04C01,EAS
10013440021_R06C01,EUR
10013440025_R01C02,SAS
10013440025_R02C02,EUR
10013440025_R03C02,EAS
10013440025_R04C02,EUR
10013440025_R06C01,EUR
10013440047_R04C02,EUR
10013440047_R05C02,EUR
10013440049_R01C01,EUR
10013440049_R01C02,EUR
10013440049_R02C02,EUR
10013440049_R03C02,EAS
10013440049_R04C02,EAS
10013440049_R06C01,EUR
10013440050_R02C01,EUR
10013440050_R02C02,EUR
10013440050_R03C01,SAS
10013440050_R03C02,EUR
10013440050_R04C01,EUR
10013440050_R05C01,EUR
10013440050_R05C02,EUR
10013440053_R02C01,EUR
10013440053_R03C01,EAS
10013440053_R03C02,EAS
10013440053_R04C01,EAS
10013440053_R04C02,EUR
10013440053_R05C02,EUR
10013440053_R06C02,EAS
10013440055_R02C02,EUR
10013440055_R03C02,EUR
10013440062_R02C02,EAS
10013440062_R03C01,EAS
10013440062_R04C02,EUR
10013440066_R01C02,EUR
10013440066_R02C02,EUR
10013440066_R05C02,EUR
10013440066_R06C02,EUR
10013440067_R01C02,EUR
10013440067_R02C01,EAS
10013440067_R03C01,EAS
10013440067_R06C01,EUR
10013440067_R06C02,EUR
10013440069_R02C02,EUR
10013440069_R03C02,EAS
10013440069_R04C02,SAS
10013440069_R05C02,SAS
10013440071_R01C01,EUR
10013440071_R02C01,AFR
10013440071_R03C01,AMR
10013440071_R04C01,AMR
10013440071_R04C02,EAS
10013440076_R01C01,EUR
10013440076_R02C01,EAS
10013440076_R02C02,EUR
10013440076_R03C01,EUR
10013440076_R03C02,EUR
10013440076_R04C01,EUR
10013440076_R04C02,EUR
10013440076_R05C01,AMR
10013440076_R05C02,EUR
10013440076_R06C01,EUR
10013440076_R06C02,EUR
10013440085_R01C02,EUR
10013440085_R02C01,EUR
10013440085_R02C02,EUR
10013440085_R03C01,EUR
10013440085_R03C02,EUR
10013440085_R04C01,EAS
10013440085_R04C02,EUR
10013440085_R05C01,EAS
10013440085_R06C01,AMR
10013440086_R01C01,AFR
10013440086_R01C02,EAS
10013440086_R02C01,EUR
10013440086_R02C02,EAS
10013440086_R03C01,EUR
10013440086_R03C02,EAS
10013440086_R04C01,EUR
10013440086_R04C02,EUR
10013440086_R05C01,EUR
10013440086_R05C02,EUR
10013440086_R06C01,EAS
10013440088_R01C01,EUR
10013440088_R02C01,EUR
10013440088_R02C02,AMR
10013440088_R03C01,EUR
10013440088_R04C01,EUR
10013440088_R05C01,EUR
10013440091_R05C02,EAS
10013440091_R06C02,EAS
10013440092_R05C01,EAS
10013440092_R06C01,EUR
10013440092_R06C02,EUR
10013440093_R01C02,EAS
10013440093_R02C02,AMR
10013440093_R03C01,EUR
10013440093_R03C02,AMR
10013440093_R04C01,EUR
10013440094_R01C01,EUR
10013440094_R01C02,EUR
10013440094_R02C01,AFR
10013440094_R03C01,EUR
10013440094_R04C02,EUR
10013440094_R05C02,EAS
10013440094_R06C01,EUR
10013440096_R01C02,EAS
10013440096_R02C02,EUR
10013440096_R03C01,SAS
10013440096_R03C02,EUR
10013440096_R04C01,EUR
10013440096_R05C01,EUR
10013440096_R06C01,EAS
10013440097_R02C02,EAS
10013440097_R03C02,SAS
10013440097_R04C01,EUR
10013440097_R04C02,EUR
10013440097_R05C02,EUR
10013440098_R01C02,EUR
10013440098_R02C01,EAS
10013440098_R02C02,EUR
10013440098_R03C01,EUR
10013440098_R03C02,AFR
10013440098_R04C02,AFR
10013440098_R05C02,EUR
10013440098_R06C02,EUR
10013440099_R01C01,EAS
10013440099_R02C01,EUR
10013440099_R03C01,EUR
10013440099_R03C02,EAS
10013440099_R04C01,EUR
10013440099_R04C02,EUR
10013440099_R05C02,EUR
10013440099_R06C02,EUR
100924530028_R01C02,EUR
100924530028_R03C01,SAS
100924530028_R04C01,SAS
100924530028_R04C02,SAS
100924530028_R05C01,EAS
100924530028_R06C01,EUR
100946240013_R01C01,EUR
100946240013_R01C02,EUR
100946240013_R02C01,EUR
100946240013_R02C02,EUR
100946240013_R03C01,EUR
100946240013_R04C01,EUR
100946240013_R04C02,EUR
100946240013_R05C01,EAS
100946240013_R06C01,EAS
100946240035_R01C02,EAS
100946240035_R03C01,EUR
100946240035_R04C01,EUR
100946240035_R05C01,EUR
100946240085_R01C01,EUR
100946240085_R02C01,EUR
100946240085_R03C01,AFR
100946240085_R03C02,EAS
100946240085_R04C01,EUR
100946240085_R04C02,EAS
100946240085_R05C01,EAS
100946240085_R06C01,EAS
100946240095_R01C01,EAS
100946240095_R04C02,EUR
100946240095_R05C02,EUR
100946240110_R02C01,AMR
100946240110_R03C01,EUR
100946240110_R04C01,EUR
100946240110_R05C01,EUR
100946240110_R05C02,EAS
100946240110_R06C01,EUR
100946240126_R01C01,EUR
100946240126_R01C02,EUR
100946240126_R02C01,EUR
100946240126_R02C02,SAS
100946240126_R03C01,EUR
100946240126_R03C02,SAS
100946240126_R04C01,EUR
100946240126_R04C02,EUR
100946240126_R05C01,EUR
100946240126_R05C02,EUR
100946240126_R06C01,EUR
100946240136_R06C02,EUR
100946240150_R01C02,EUR
100946240155_R01C01,AFR
100946240155_R02C01,EUR
100946240155_R04C01,EUR
100946240155_R05C01,EUR
100946240167_R06C01,EUR
100946240172_R03C02,EUR
100946240172_R04C02,EUR
100946240174_R01C02,EUR
100946240174_R02C02,AFR
100946240174_R03C02,EUR
100946240174_R04C02,SAS
100946240174_R05C01,EAS
100946240174_R05C02,SAS
100946240174_R06C01,EAS
100946240179_R01C02,AFR
100946240179_R02C02,AMR
100946240179_R03C02,EUR
100946240179_R04C01,EUR
100946240179_R04C02,EUR
100946240179_R05C01,EUR
100946240179_R05C02,EUR
100946240179_R06C01,EUR
100946240180_R01C01,AMR
100946240180_R01C02,AMR
100946240180_R02C01,AMR
100946240180_R02C02,EUR
100946240180_R03C01,AFR
100946240180_R03C02,EUR
100946240180_R04C02,EUR
100946240180_R05C02,EUR
100946240180_R06C01,AMR
100946240180_R06C02,EAS
100946240184_R02C02,EUR
100946240184_R03C02,AMR
100946240184_R05C01,EAS
100946240184_R06C01,EUR
100946240184_R06C02,AMR
100946240189_R01C02,EUR
100946240189_R02C01,EUR
100946240189_R03C01,EUR
100946240189_R05C01,EUR
100946240189_R06C01,EUR
100946240190_R01C02,EUR
100946240190_R02C02,EAS
100946240190_R03C02,EUR
100946240190_R05C01,EUR
100946240190_R06C01,EUR
100946240191_R01C01,AMR
100946240191_R01C02,AMR
100946240191_R02C01,AMR
100946240191_R03C01,AMR
100946240191_R04C01,AMR
100946240191_R04C02,EUR
100946240191_R05C01,AMR
100946240191_R05C02,EUR
100946240191_R06C01,AMR
100946240191_R06C02,EUR
100946240194_R01C02,EUR
100946240194_R02C02,EUR
100946240194_R03C01,EAS
100946240194_R03C02,EUR
100946240194_R04C01,EUR
100946240194_R05C01,EUR
100946240194_R06C01,EUR
100946240196_R01C01,EUR
100946240196_R01C02,EUR
100946240196_R02C01,EUR
100946240196_R02C02,EUR
100946240196_R03C01,EUR
100946240196_R03C02,SAS
100946240196_R04C01,EUR
100946240196_R04C02,SAS
100946240196_R05C01,EUR
100946240196_R05C02,EUR
100946240196_R06C01,EUR
100946240196_R06C02,EUR
100946240201_R01C01,EAS
100946240201_R01C02,EAS
100946240201_R02C01,EUR
100946240201_R02C02,SAS
100946240201_R03C01,EUR
100946240201_R03C02,EUR
100946240201_R04C01,EUR
100946240201_R04C02,EUR
100946240201_R05C01,EUR
100946240201_R06C01,EUR
100946240203_R01C01,EUR
100946240203_R01C02,AMR
100946240203_R02C01,EUR
100946240203_R02C02,EUR
100946240203_R03C01,AMR
100946240203_R03C02,EUR
100946240203_R04C01,AMR
100946240203_R04C02,EUR
100946240203_R05C01,AMR
100946240203_R05C02,EUR
100946240203_R06C01,AMR
100946240203_R06C02,EAS
100946240204_R04C02,EUR
100946240204_R05C02,EUR
100946240208_R02C02,EUR
100946240208_R03C02,EUR
100946240208_R04C02,EAS
100946240208_R05C02,EUR
100946240208_R06C02,EUR
100954460002_R01C01,EUR
100954460002_R01C02,EUR
100954460002_R02C01,EUR
100954460002_R02C02,EUR
100954460002_R03C01,EUR
100954460002_R03C02,EUR
